Clip,L1 Loss,L2 Loss,SNR (dB)
0,2.266652,9.021738,25.05
1,2.054181,7.419626,25.92
2,2.145302,7.604266,25.98
3,2.255471,8.176063,25.97
4,2.073822,6.710520,27.22
5,2.032470,6.801367,27.61
6,2.012832,6.473372,28.31
7,2.350890,8.770452,27.42
8,2.445599,9.298163,27.40
9,2.465760,10.297378,26.91
10,3.012959,15.465715,24.81
11,3.519087,20.207130,23.02
12,3.564120,22.297573,21.71
13,3.706989,24.810282,20.27
14,3.253078,17.151350,21.09
15,3.010893,14.620981,21.32
16,2.897514,13.607456,21.44
17,3.228185,15.693282,20.86
18,3.215356,16.057055,20.94
19,3.330415,17.330956,20.81
20,3.336243,18.325426,20.70
21,3.249193,18.290493,20.74
22,3.198992,17.097954,20.96
23,3.231008,18.014103,20.62
24,3.100811,16.954218,20.75
25,3.262742,19.261301,20.13
26,3.227749,17.916227,20.45
27,3.341367,19.535271,20.12
28,3.743510,24.130816,19.34
29,4.139651,29.100531,18.82
30,4.034648,28.621918,19.40
31,3.724125,22.669941,21.02
32,3.331033,19.023928,22.15
33,3.748678,23.361124,21.27
34,4.113174,26.898367,20.34
35,3.647209,21.592068,20.62
36,3.385362,19.189201,20.07
37,3.584551,21.023329,18.65
38,3.269111,16.925602,19.10
39,3.234880,16.843309,19.24
40,3.370374,18.550705,19.30
41,3.432738,17.583126,20.14
42,3.260558,17.191702,20.69
43,3.268907,18.112467,20.71
44,3.358166,20.182827,20.24
45,3.301224,19.506330,20.28
46,3.349694,18.552366,20.31
47,3.237043,17.297697,20.53
48,3.408909,19.801142,19.99
49,3.720450,22.302608,19.68
50,3.829967,24.123110,19.65
51,3.847092,24.937281,19.96
52,4.024207,25.215805,20.13
53,4.432721,30.009674,19.40
54,4.452859,31.586493,18.99
55,3.722103,22.916821,20.07
56,2.989790,14.193516,21.66
57,2.822177,12.765796,21.91
58,3.197153,16.020031,21.03
59,3.213420,18.219452,20.58
60,3.286172,21.457466,19.89
61,3.702676,27.830551,18.63
62,4.282611,39.339207,16.90
63,4.881892,50.450291,15.51
64,5.716370,60.901501,14.62
65,6.288962,69.892982,14.10
66,6.710979,78.898544,13.71
67,7.029866,88.440659,13.35
68,7.091891,94.486366,13.22
69,7.107791,100.186279,13.17
70,7.064300,105.490723,13.21
71,7.064763,108.438141,13.38
72,7.106455,107.687332,13.63
73,6.940204,99.656265,14.17
74,6.256617,86.875191,14.99
75,5.668355,73.332420,16.05
76,5.090386,60.936829,17.31
77,4.754316,55.582764,18.08
78,4.841723,50.205414,18.67
79,4.731350,43.826035,19.14
80,4.204971,33.412182,19.94
81,3.427873,20.174416,21.41
82,3.087762,15.295134,21.76
83,3.128777,15.602504,20.93
84,3.346343,18.297699,19.79
85,3.430669,18.783503,19.50
86,2.883022,13.728940,20.86
87,2.741696,11.722021,21.62
88,2.933282,13.139843,21.17
89,2.972944,13.064348,21.15
90,2.707052,11.525684,21.49
91,2.799810,13.727175,20.43
92,2.910916,14.700566,19.82
93,3.045370,16.019352,19.18
94,2.913054,14.079603,19.54
95,2.730381,12.658674,19.91
96,2.961461,15.722242,18.96
97,2.996250,15.647079,19.02
98,2.861985,14.365139,19.47
99,2.947801,14.701989,19.47
100,3.072022,15.379345,19.46
101,3.145870,16.195200,19.51
102,3.270077,16.585077,19.75
103,3.123828,15.227161,20.49
104,2.967793,13.471970,21.38
105,3.021147,14.884658,21.26
106,3.133571,17.775530,20.76
107,3.381008,20.771099,20.36
108,3.467602,20.475996,20.76
109,3.050809,14.803378,22.58
110,2.748725,11.742298,24.02
111,2.860202,13.851386,23.62
112,3.033144,16.819256,22.94
113,3.172131,19.968367,22.19
114,2.949370,19.786848,22.06
115,3.003020,19.082235,21.90
116,3.019989,18.000328,21.84
117,2.915218,17.272343,21.76
118,2.954407,16.288687,21.85
119,2.921570,14.737759,22.20
120,2.872606,14.971789,22.11
121,3.036611,16.204401,21.83
122,3.149991,16.982496,21.63
123,3.259747,18.105005,21.22
124,3.350029,17.996550,20.95
125,3.356245,17.510977,20.66
126,3.070073,15.561215,20.68
127,3.423576,20.102942,19.18
128,3.160905,17.948866,19.57
129,2.969121,15.499121,20.36
130,2.589086,12.502945,21.53
131,2.644175,12.503285,21.79
132,2.683432,12.106682,22.12
133,2.718162,11.734337,22.27
134,2.890055,13.283914,21.52
135,2.801198,12.607671,21.41
136,3.140661,15.220610,20.14
137,3.429284,17.847731,18.94
138,3.304415,17.253208,18.64
139,2.897376,14.808472,19.17
140,2.757517,13.603068,19.59
141,2.709144,13.289599,19.95
142,2.564682,11.810177,20.89
143,2.567378,11.074897,21.64
144,2.957044,13.918516,21.04
145,3.031082,16.379787,20.57
146,2.990882,16.720978,20.56
147,2.827204,14.328632,21.23
148,2.508317,11.498745,22.21
149,2.633317,10.937287,22.65
150,2.455712,10.552801,23.28
151,2.632618,12.317906,23.24
152,3.113121,15.904219,22.46
153,3.657785,21.244341,21.23
154,3.418946,20.602045,21.09
155,3.201038,17.072039,21.35
156,2.517845,11.061868,22.37
157,2.616265,11.283098,21.62
158,2.801334,13.002565,20.75
159,2.619392,11.657053,21.45
160,2.598891,11.682732,21.89
161,2.603361,11.525601,22.41
162,2.920358,14.039174,21.91
163,2.738241,12.938156,22.55
164,2.602098,10.842425,23.49
165,3.085099,14.947545,22.21
166,3.284297,17.552464,21.51
167,3.515974,19.265318,21.05
168,3.586200,20.755373,20.55
169,3.561885,22.088718,20.06
170,3.088457,16.859924,21.01
171,2.788133,13.808290,21.76
172,2.507243,12.177680,22.30
173,2.803815,14.981506,21.36
174,2.990309,17.817829,20.49
175,3.796512,28.307838,18.28
176,4.453593,35.874783,16.93
177,4.447363,32.496834,16.95
178,4.127103,28.404362,17.20
179,3.997865,26.353573,17.30
180,3.830915,24.739218,17.53
181,3.667907,22.651127,18.13
182,3.367629,20.302460,19.09
183,3.252639,19.164688,19.83
184,3.546830,21.484108,19.66
185,3.465801,20.442295,20.00
186,3.686561,23.822649,19.33
187,3.700934,24.787529,19.13
188,4.019019,27.333591,18.72
189,4.764863,33.602940,17.84
190,4.601133,32.163815,17.97
191,4.064711,24.996683,18.97
192,3.624854,21.082932,19.58
193,3.974621,22.930141,19.34
194,3.360687,18.273317,20.36
195,3.791545,23.410692,19.28
196,3.758953,23.101297,19.20
197,3.668947,21.064072,19.35
198,2.863815,12.716049,20.95
199,2.985181,13.888337,20.18
200,3.097702,15.290517,19.55
201,2.714663,11.808969,20.62
202,2.833497,13.181184,20.12
203,3.117429,15.588581,19.43
204,3.274698,17.603832,19.02
205,3.221103,17.366083,19.26
206,3.373682,18.478195,19.10
207,3.199241,17.294386,19.37
208,3.195105,16.210684,19.50
209,2.736978,12.177358,20.49
210,2.609679,10.770939,20.80
211,2.602602,10.998825,20.66
212,2.534444,11.125051,20.82
213,2.185154,8.948883,22.21
214,2.287873,9.166901,22.76
215,2.498712,10.805595,22.62
216,2.733972,12.582913,22.33
217,3.165853,16.639879,21.19
218,3.360133,18.593184,20.62
219,3.074066,15.704108,21.11
220,2.864461,13.047172,21.79
221,2.760087,12.773721,22.01
222,2.386121,9.621243,23.70
223,2.690416,11.840847,23.38
224,3.249885,16.869095,22.43
225,3.906622,23.933073,20.99
226,4.004270,26.181381,20.37
227,3.382906,20.223528,21.03
228,3.079429,15.802836,21.43
229,2.809399,12.880302,21.30
230,2.724431,12.473821,20.85
231,2.742169,12.516820,20.62
232,2.602565,11.477868,20.98
233,2.555374,11.071665,21.23
234,2.469233,9.893403,21.99
235,2.727006,12.036943,21.62
236,2.864766,13.235663,21.71
237,2.886789,13.025120,22.18
238,2.988029,14.384256,22.03
239,2.846312,13.575205,22.39
240,3.037960,15.039330,21.92
241,2.984720,14.673918,22.02
242,3.033419,14.893871,22.18
243,3.018994,14.914174,22.61
244,2.917948,15.280246,23.05
245,2.651426,13.032785,24.19
246,2.650068,13.992163,24.17
247,2.505201,11.956865,24.91
248,2.542135,11.753039,24.84
249,2.632797,12.228657,24.38
250,3.148106,16.655882,22.77
251,2.993636,13.844727,20.68
252,3.068984,15.421230,20.12
253,3.167262,16.963467,19.87
254,3.185806,18.159248,19.72
255,2.909141,15.676357,20.36
256,3.184578,17.303631,19.81
257,3.332644,18.820793,19.22
258,3.458912,19.318193,19.00
259,3.664562,22.231991,18.57
260,3.732101,22.918066,18.77
261,3.635805,22.597485,19.05
262,3.489345,20.845318,19.55
263,2.820421,13.760893,21.28
264,2.481615,10.229435,22.31
265,2.863685,13.472844,20.90
266,2.862790,13.768285,20.85
267,2.866285,13.995920,20.92
268,2.700850,12.931550,21.36
269,2.655343,12.265483,21.75
270,2.833617,15.659282,20.82
271,3.020408,17.618383,20.42
272,3.001064,15.745724,20.91
273,2.919090,14.784835,21.17
274,2.897623,14.649817,21.10
275,2.650328,13.181441,21.37
276,2.629302,13.086166,21.17
277,2.628021,12.029175,21.49
278,2.536267,11.471856,22.00
279,2.615353,11.396528,22.72
280,2.492556,11.188215,23.62
281,2.799238,13.223945,23.63
282,3.011955,15.014035,23.60
283,3.255217,17.272106,23.26
284,3.472134,20.410027,22.53
285,3.498677,21.402090,22.10
286,3.195817,17.020300,22.70
287,3.395534,20.299604,21.46
288,3.133152,17.726208,21.55
289,3.568383,22.886709,19.98
290,3.686667,23.650646,19.44
291,4.095338,28.956694,18.26
292,3.978903,28.766798,18.05
293,3.924187,28.525034,17.87
294,3.872441,28.657499,17.59
295,3.733994,27.424673,17.52
296,3.587817,25.467060,17.71
297,3.570952,24.728699,17.86
298,3.328449,19.912720,18.91
299,3.228952,18.897705,19.17
300,3.173356,18.327742,19.30
301,2.724986,12.155300,21.07
302,2.615718,11.643739,21.36
303,3.428093,20.255995,19.47
304,3.977205,25.676142,18.94
305,3.456084,19.908794,20.38
306,3.306923,18.913431,20.69
307,2.600333,11.506672,22.76
308,2.729460,11.672489,22.33
309,2.893274,13.442191,21.47
310,3.092038,15.623263,20.82
311,2.946603,13.329099,21.77
312,2.869533,12.898724,22.22
313,3.034062,14.713182,21.94
314,2.467281,10.232428,23.62
315,2.320072,8.874971,24.17
316,2.384583,9.561666,23.67
