Clip,L1 Loss,L2 Loss,SNR (dB),SSIM
0,3.483939,22.978050,19.80,0.7576
1,3.090910,16.297148,21.72,0.7867
2,3.231506,18.057571,21.79,0.7834
3,3.182415,17.627916,20.86,0.7616
4,3.099663,16.697033,22.21,0.7566
5,2.968351,16.246292,22.26,0.7570
6,3.101246,16.576571,21.86,0.7824
7,3.045252,15.998940,22.01,0.7744
8,2.773913,13.028470,22.91,0.7525
9,2.215232,8.806306,24.62,0.7808
10,2.188478,8.589978,25.31,0.7397
11,3.023703,16.195036,21.49,0.7868
12,4.501817,34.107483,18.12,0.6987
13,3.206135,17.668787,21.05,0.7586
14,2.865659,14.312088,23.15,0.7351
15,2.820211,13.391364,22.80,0.7698
16,2.798507,13.372124,22.09,0.7878
17,2.664266,12.289158,22.17,0.8164
18,3.048118,16.683868,21.52,0.7646
19,2.899311,14.580338,21.43,0.7764
20,2.793088,13.405606,22.24,0.8159
21,3.547799,21.178715,20.31,0.7135
22,2.828636,14.159534,22.15,0.7755
23,3.476266,20.983244,20.80,0.7778
24,2.779444,13.217633,22.64,0.7929
25,3.135574,16.767128,22.16,0.7370
26,2.798317,13.627914,22.50,0.8117
27,2.802056,13.955802,22.41,0.7805
28,3.203616,24.363398,21.03,0.6973
29,2.161974,8.390495,25.63,0.6998
30,2.085072,7.596092,24.19,0.7646
31,2.750515,13.267982,23.02,0.7760
32,3.287734,18.230572,21.20,0.7516
33,2.552238,11.125028,22.94,0.7993
34,2.532671,11.072352,23.54,0.7666
35,3.085219,16.276468,22.13,0.7578
36,2.711954,12.831568,22.80,0.7455
37,2.932050,15.125330,21.62,0.7641
38,2.731421,13.068982,23.26,0.8042
39,2.916036,14.554996,21.80,0.7634
40,3.365952,19.448450,20.95,0.7412
41,3.238849,17.833090,21.33,0.7746
42,2.950187,15.226848,22.18,0.8010
43,3.070476,15.854285,22.23,0.7747
44,2.758429,12.848712,22.15,0.7822
45,3.121941,16.732920,21.99,0.7744
46,3.094548,16.266224,21.68,0.7843
47,2.801279,13.289655,22.74,0.7825
48,3.054424,15.814382,21.99,0.7747
49,2.995752,15.235257,21.48,0.7603
50,3.394022,19.643913,20.83,0.7329
51,2.997304,15.012015,22.24,0.7736
52,2.190607,8.469701,24.66,0.7133
53,2.791879,13.574610,21.77,0.7890
54,3.288809,18.456785,20.78,0.7488
55,1.932130,6.481859,27.09,0.6467
56,3.059798,15.850756,22.30,0.7537
57,2.991313,15.137794,22.57,0.7827
58,2.728388,12.700398,22.97,0.7876
59,3.101336,16.056345,21.73,0.7486
60,2.078751,7.604436,24.99,0.7635
61,3.094845,16.235764,21.64,0.7860
62,3.013799,15.227722,22.53,0.7503
63,2.976951,15.849042,22.18,0.7853
64,3.191741,17.324139,21.99,0.7706
65,2.469665,10.285554,23.77,0.8412
66,3.200642,17.612694,21.66,0.7656
67,4.572368,36.887051,18.35,0.6854
68,2.914869,14.397163,21.95,0.7516
69,2.475981,11.068843,24.12,0.7461
70,2.703409,12.419394,23.01,0.7780
71,3.137779,17.004580,21.25,0.7716
72,2.815800,13.621948,21.68,0.7745
73,2.958688,14.747165,21.87,0.7781
74,2.959046,14.664756,22.85,0.7929
75,3.287756,18.680243,20.57,0.7326
76,3.196801,17.051558,21.98,0.7718
77,2.877026,14.019065,21.88,0.7848
78,2.950862,15.146853,21.22,0.7321
79,2.974907,15.286159,22.09,0.7881
80,2.991697,15.128940,22.31,0.7986
81,2.867397,14.239237,22.71,0.7947
82,2.843909,13.668070,22.05,0.8044
83,3.325249,18.767008,20.82,0.7697
84,2.903678,14.170955,21.89,0.7753
85,2.193597,8.125163,24.90,0.6844
86,3.167400,16.616652,21.91,0.7443
87,3.057459,15.940224,21.73,0.7616
88,2.796284,13.136423,23.17,0.7704
89,2.827708,13.822311,22.92,0.8159
90,3.377397,19.107374,20.62,0.7382
91,2.805388,13.735988,23.35,0.7100
92,2.855424,14.704460,22.95,0.7759
93,2.402107,11.063126,23.50,0.7509
94,2.704726,12.476696,23.05,0.7965
95,2.628636,12.225739,23.76,0.7540
96,2.999338,14.855516,21.84,0.7767
97,2.593987,12.065430,23.43,0.8063
98,2.935148,14.382688,22.61,0.8070
99,2.618140,11.907931,23.19,0.7619
100,2.857032,13.865649,22.37,0.7825
101,2.786417,13.329865,22.41,0.7924
102,2.951603,15.136310,22.15,0.8008
103,3.129672,16.904966,21.16,0.7680
104,2.753687,13.103653,22.03,0.7818
105,2.211293,8.602158,24.10,0.7895
106,2.941486,14.832282,21.80,0.7797
107,2.877414,14.228775,22.43,0.8003
108,2.953338,14.768633,22.29,0.7639
109,2.809182,14.097407,22.63,0.7654
110,2.372817,10.129910,24.67,0.7433
111,2.548104,11.104334,23.80,0.7927
112,2.608477,11.673451,23.01,0.7832
113,2.766759,13.861664,22.22,0.7836
114,2.840386,13.778542,22.22,0.7747
115,2.894094,14.387103,22.31,0.7559
116,3.004493,16.120367,21.99,0.7786
117,2.996827,14.982080,21.33,0.7576
118,2.302171,8.994555,24.55,0.8074
119,3.105782,16.752350,20.96,0.7537
